age,Sex,Family,nameofcancer,agecancer,whoaffected,dept,post,dgraduation,selfcanh,nameselfcan,durationscan,awarnesscans,namecancers,usefullnesscansc,breastcansc,agebrcans,brcansi,attbrcans,brcaprac,doBSE,bseinterval,mamography,inmamo,brcanscfam,famlibrcansc,brcanspa,brcanscptin,cercans,agecer,intercer,atticer,viapap,viado,intervia,cerfami,interfamcer,cerviscpt,intercerpt,coloncan,agecolocans,intecolocas,atticolcans,docolonoscopy,intercolonos,colofamily,intercolonfamil,coloncanpt,intercolonspt,proscans,ageproscs,interproscs,attiproscs,psadre,interpsadre,familyproscs,iprosf,proscansp,interprospt
36,2,1,prostate,50,sister,4,8,10,1,prostate,6,1,prostate,1,2, , ,1,1,1, ,1, ,1, ,1, ,2, , ,1,1,2, ,2, ,1, ,2, , ,1,2, ,1, ,1, ,1,40, ,1,1,1,1,1,1,1
46,1,1,prostate,50, , ,3, ,1,prostate,6,1,prostate,1,2, , ,1,1,1, ,1, ,1, ,1, ,1, , ,2,1,2, ,2, ,1, ,2, , ,1,2, ,1, ,1, ,1,40, ,1,1,1,1,1,1,1
34,1,2, , , ,13,8,5,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,2, ,1, ,1,40,3,1,1,2, ,2, ,1, ,1,40,4,1,2, ,2, ,1, ,1, , ,1,2, ,2, ,1, 
40,1,2, , , , , , ,2, ,1,1, ,1, , , ,1,1,2, ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,2, ,1, 
25,2,2, , , ,3,8,2,1,Ovariaya,1,1, ,1,1,25,3,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,1, ,1, ,1,45,1,1,2, ,1, ,1, ,1,40,1,1,1,1,1, ,1, 
45,1,1,cervix,60,mother,10,7,21,1,Breast,2,2, ,2,2, , , ,2, , ,2, , , ,1, ,1,40,2,1,1,1, ,1,2,1, ,2, , ,1,2, ,2, , , ,2, , ,1,1, , , , , 
44,1,2, , , ,1,4,12,1, , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,25,4,1,1,2, ,2, ,1, ,1,35,2,1,2, ,2, ,1,2,1,46,3,1, , , , , , 
33,2,2, , , , ,8,7,1,long,50,1,none,1,1,25,3,1,1,2, ,2, ,1,2,1,2,2, , ,1,1,2, ,2, ,2, ,2, , ,1,1,2,2, ,2, ,1,45,3,1,2, ,2, ,2, 
40,1,2, , , ,5,6,12, , , ,2, ,2,1,21,1,1,1,2, ,2, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,2,2, , , , ,6, ,2, , ,2, ,1,1,23,4,1,2,2, ,2, ,1,3,1,3,1,24,5,1,1,2, ,1,3,1,3,1,40,5,1,2, ,2, ,2, ,1,45,4,2,2, ,2, ,2, 
53, ,2, , , ,12,2, ,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,25,3,1,1,2, ,1,3,1,3,1,50,5,1,2, ,2, ,2, ,1,45,3,1,2, ,1,2,1,2
41, ,2, , , ,15,4,12,2, , ,2, ,1,1,21,3,1,2,2, ,2, ,1,3,1,3,1,30,5,1,2,2, ,1,3,1,3,1,45,5,1,1,3,1,3,1,3,1,45,4,1,2, ,1,3,1,3
42, ,2, , , ,15,8,14,2, , ,1,breast,1,1,20,2,1,1,2, ,2, ,1,3,1,3,1,30,3,1,1,2, ,1,3,1,3,1,39,4,1,2, ,1,5,1,5,1,30,4,1,2, ,1,3,1,3
58,1,2, , , ,15,8,29,2, , ,1, ,1,1,25,3,1,1,2, , , ,1, ,1, ,1,21,3,1,2,2, ,2, ,2, ,1,45,4,2,2, ,2, ,2, ,1,50,2,1,2, ,2, ,2, 
44, ,2, , , ,9,4, ,2, , ,1,"colon,pr",1,1,25,3,1,1,2, ,2, ,1,2,1,2,1,21,3,1,1,2, ,1,3,1,3,1,40,3,1,2, ,1,3,1,3,1,50,2,1,2, ,1,2,1,2
46, ,2, , , ,3,3,18,1,breast,10,1,"colon,br",1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,1,2, ,2, ,2, ,1,40,3,1,2, ,2, ,2, ,1,50,3,2,2, ,2, ,2, 
41, ,2, , , , ,6,14,2, , ,1,breast,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,1,2,1,2,1,40,2,1,1,3,1,2,1,2,1,50,2,1,2, ,1,2,1,2
33,1,2, , , , ,8,6,2, , ,1, ,1,1,21,3,1,1,2, ,2, ,1,3,1,3,1,21,2,1,1,2, ,1,2,1,2,1,30,2,1,2, ,2, ,2, ,1,50,3,1,2, ,2, ,2, 
54,1,2, , , , ,1,26,2, , ,1,"brst,col",1,1,26,3,1,2,2, ,2, ,1,3,1,3,1,21,2,2,1,2, ,1,2,1,2,1,40,2,1,2, ,1,2,1,2,1,50,1,1,2, ,1,2,1,2
32,1, , , , ,12, ,8,2, , ,1,breast,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,23,2,1,1,2, ,1,2,1,2,1,45,3,1,2, ,1,3,1,3,1,45,3,2,2, ,2, ,2, 
52,1,2, , , ,19,1,25,2, , ,1,"brst,col",1,1,23,3,1,2,2, ,2, ,1,3,1,3,1,25,2,1,1,2, ,1,1,1,1,1,40,3,1,2, ,1,3,1,3,1,50,2,1,2, ,2, ,2, 
39,1, , , , ,1,6,13,2, , ,1, ,1,1,30,3,1,1,2, ,2, , , ,1, ,1,35,3,1,1,2, ,2, ,1,3,1,40,4,1,2, ,2, ,1,3,1, , ,1, , , , , , 
36,1,2, , , ,1,6, ,2, , ,1,cervical,1,1,19,1,1,2,2, ,2, ,1, ,1, ,1,1,1,1,2,2, ,2, ,1,2,1,51,4,1,2, ,2, ,1,2,1,41,2,1,2, ,2, ,1,3
